Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Staff Data Scientist,-1,"WHO WE ARE:
Voted one of the Top 100 Fastest Growing Companies in the Bay Area for 2020, Freedom Financial Network is a family of companies that takes a people-first approach to financial services, using technology to empower consumers to overcome debt and create a brighter financial future. The company was founded in 2002 by Brad Stroh and Andrew Housser on the belief that by staying committed to helping people, you can ensure better financial outcomes for both the customer and the business. This Heart/$ philosophy still guides the vision of our growing company, which has helped millions of people find solutions for their financial needs.
What began with 2 people in a spare bedroom has now rapidly expanded to a vibrant business that employs over 2000 employees (known internally as The Freedom Family) in two locations: San Mateo, CA and Tempe, AZ. When you visit either of our offices, you’ll understand why our employees have voted us the Best Place to Work for the last several years. It’s a place where the Heart/$ philosophy continues to thrive, where we believe that success is only achieved by doing what’s right for our customers, our employees, and our communities.
Some of the key responsibilities for the Analytic Scientist will include:",3.5,Freedom Financial Network,"San Mateo, CA","1001 to 5000 Employees
Founded
2002",2002,Company - Private,Investment Banking & Asset Management,Finance,$500 million to $1 billion (USD)
"Data Scientist, Medical Diagnostics",-1,"The Company
The world is facing a medical crisis, bacteria are increasingly evolving resistance to even our strongest antibiotics. The problem is already very real and immediate; for example, bloodstream infection leading to sepsis is now responsible for more than half of all deaths in hospitals and is the most expensive condition treated in hospitals. Sepsis mortality rate increases >6% every hour without effective antibiotic treatment. Yet, despite the life and death urgency, and healthcare cost impacts, current methodologies require 3 days to determine the correct antibiotic.
Specific Diagnostics has developed a breakthrough solution to rapidly determine the effective antibiotic treatment for bloodstream and other acute infections. Used for bloodstream infection Specific’s solution provides results 2 days sooner than existing methods, saving patients suffering from drug-resistant infection.",3.5,Specific Diagnostics,"Mountain View, CA",1 to 50 Employees,-1,-1,-1,-1,Unknown / Non-Applicable
"Data Scientist, Medical Diagnostics",-1,"The Company
The world is facing a medical crisis, bacteria are increasingly evolving resistance to even our strongest antibiotics. The problem is already very real and immediate; for example, bloodstream infection leading to sepsis is now responsible for more than half of all deaths in hospitals and is the most expensive condition treated in hospitals. Sepsis mortality rate increases >6% every hour without effective antibiotic treatment. Yet, despite the life and death urgency, and healthcare cost impacts, current methodologies require 3 days to determine the correct antibiotic.
Specific Diagnostics has developed a breakthrough solution to rapidly determine the effective antibiotic treatment for bloodstream and other acute infections. Used for bloodstream infection Specific’s solution provides results 2 days sooner than existing methods, saving patients suffering from drug-resistant infection.",3.5,Specific Diagnostics,"Mountain View, CA",1 to 50 Employees,-1,-1,-1,-1,Unknown / Non-Applicable
Data Scientist - Audience Segmentation,$123K - $198K (Glassdoor est.),"Summary


Data scientists at Disney Streaming are the insights and modeling partners for the content, marketing, product, and engineering teams at Disney+, Hulu and ESPN+. They use data to empower decision-makers with information, predictions, and insights that ultimately influence the experiences of millions of users worldwide. Scientists on the team build models, perform statistical analysis, and create visualizations to provide scalable, persistent capability that is iteratively improved through direct interaction with cross-functional business partners.

WHAT YOU'LL DO",4.0,Hulu,"Santa Monica, CA","1001 to 5000 Employees
Founded
2007",2007,Company - Private,TV Broadcast & Cable Networks,Media,$1 to $2 billion (USD)
Senior Solutions Engineer (Data Scientist / ML Engineer) - West Coast,$160K - $254K (Glassdoor est.),"COMPANY OVERVIEW:
H2O.ai is the open source leader in AI with a mission to democratize AI for everyone. H2O.ai is transforming the use of AI with its visionary machine learning platform. More than 18,000 companies use open-source H2O for mission-critical use cases. H2O Driverless AI uses ""AI to do AI"" in order to provide an easier, faster and more cost-effective means of implementing data science. For more information and to learn more about how H2O.ai is driving an AI Transformation, visit www.h2o.ai.

ABOUT THE ROLE:
Machine learning is a rapidly growing field and h2o.ai is leading the charge. If you are passionate about applying cutting-edge AI ML algorithms to solve real-world challenges and explain complex machine-learning concepts in simple business terms, then we want to hear from you!",3.8,h2o.ai,"Mountain View, CA","201 to 500 Employees
Founded
2011",2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Scientist,-1,"Department: Technology
Location:Santa Monica, CA, US, 90404
Summary of Position
As a Data Scientist at Lionsgate your role is to follow the data. Prepare, analyze, visualize, and model theatrical, home entertainment, TV and OTT related data. You will build and implement machine learning models, dashboards and reports to make timely decisions.
We are looking for a mixture between a statistician and engineer, someone who has passion for data and improving the insights for our business teams. The ideal candidate will have a background in data acquisition, data cleanup, statistical modeling, and data visualizations.
Responsibilities
Knowledge of statistical programming language, like R or Python
Knowledge of database querying language like SQL",3.5,Lionsgate,"Santa Monica, CA","1001 to 5000 Employees
Founded
1997",1997,Company - Public,Motion Picture Production & Distribution,Media,$2 to $5 billion (USD)
Data Scientist I,-1,"Bachelor's Degree
1+ years of experience with data scripting languages (e.g SQL, Python, R etc.) or statistical/mathematical software (e.g. R, SAS, or Matlab)
Experience with data mining and analytics techniques
Experience with various machine learning/statistical modeling data analysis tools and techniques (e.g. sklearn, tensorflow, or keras), and parameters that affect their performance
Experience in programming in R, Python, Scala or similar languages and maintaining code repositories in git
Experience with data visualization and presentation, turning complex analysis into insight
Prime Video is an industry leading, high-growth business and a critical driver of Amazon Prime subscriptions, which contribute to customer loyalty and lifetime value. Prime Video is a digital video streaming and download service that offers Amazon customers the ability to rent, purchase or subscribe to a huge catalog of videos. The Prime Video Economist team works on disruptive ideas in the Prime Video space.
We are looking for a truly innovative Data Scientist to work on disruptive ideas within the Prime Video space. Examples of problem spaces you may be working on include video product pricing, ecosystem effects (how streaming affects rentals or purchases), and forecasting demand for new content on the platform. We also work on complex questions beyond video, for example how customers use and transition between Video and other digital products (e.g. Music or E-books/Audiobooks).
In this role, you will build models that measure and predict the value that the business creates (or the value of new opportunities) for our customers. This role requires a team member with strong quantitative modeling skills and the ability to apply statistical/machine learning methods to large amount of individual level and title level data. The candidate should have strong communication skills, be able to work closely with stakeholders and translate data-driven findings into actionable insights. The successful candidate will be a self-starter comfortable with ambiguity, with strong attention to detail and ability to work in a fast-paced and ever-changing environment.
On our team you will work with a diverse scientific team including engineers and economists as well as other data scientist to build statistical models using world-class data systems and partner directly with the business to implement the solutions.

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.",3.8,Amazon.com Services LLC,"Culver City, CA","10000+ Employees
Founded
1994",1994,Company - Public,Internet,Information Technology,$10+ billion (USD)
"Data Scientist, Marketing",$142K - $223K (Glassdoor est.),"About Us


Launched in 2011, Twitch is a global community that comes together each day to create multiplayer entertainment: unique, live, unpredictable experiences created by the interactions of millions. We bring the joy of co-op to everything, from casual gaming to world-class esports to anime marathons, music, and art streams. Twitch also hosts TwitchCon, where we bring everyone together to celebrate, learn, and grow their personal interests and passions. We're always live at Twitch. Stay up to date on all things Twitch on LinkedIn, Twitter and on our Blog.

About the Role


The Marketing team at Twitch is looking for an outstanding Data Scientist with demonstrated experience delivering insights from complex data. You will guide growth in areas that are underserved in marketing like campaign attribution, media mix modeling and other similar problems, creating strategies to re-engage and excite existing viewers while also finding new avenues to profitably acquire new viewers. You will combine domain-knowledge with data-science skills to work with these challenges and many more like them and help implement scalable solutions. You will report into the Marketing Science & Analytics team.",3.9,Twitch,"San Francisco, CA","1001 to 5000 Employees
Founded
2011",2011,Subsidiary or Business Segment,Internet,Information Technology,Unknown / Non-Applicable
Data Scientist - Analytics,$101K - $156K (Glassdoor est.),"We believe the way people interact with their finances will drastically improve in the next few years. We’re dedicated to empowering this transformation by building the tools and infrastructure developers need to create their own products. Today, thousands of companies such as Acorns, Stripe, and Venmo rely on Plaid to connect with the financial system; supporting millions of requests per day and thousands of bank integrations. Our goal is to give people more control over their finances and unlock financial freedom for everyone.

Making data driven decisions is key to Plaid's culture. To support that, we need a data science team that can apply their analytical skills to understand our users and influence decision making. This includes building and maintaining core data sets and metrics, helping teams like Developer Experience and Consumer Experience design experiments and running in-depth follow up analyses, and supporting, educating, and providing guidance to teams on their product decisions.

We're guided by our principles, including impact, growing together, embracing openness and positivity, and inventing tomorrow; we're looking for people motivated by those same principles.",4.7,Plaid,"San Francisco, CA","201 to 500 Employees
Founded
2012",2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Scientist,$114K - $137K (Glassdoor est.),"Tinder brings people together. With tens of millions of users and a presence in every country on earth, our reach is expansive and rapidly growing.

The Analytics team powers data-informed decision-making at Tinder. We are looking to add a hardworking, creative Data Scientist to our growing team. As a Data Scientist on Analytics, you will partner with multiple teams - including Product, Marketing, Engineering, and Finance - to improve our extraordinary platform. You will use this comprehensive dataset to develop experiments, forecasting models, automated reports, and various exploratory insights to guide our business decisions.

An effective Data Scientist at Tinder must have a passion and aptitude for turning sophisticated problems into concrete hypotheses that can be answered through thorough data analysis and A/B testing. They must also be able to disseminate their takeaways and recommendations to a variety of partners within our organization via presentations, reports, and dashboards. In this role, your insights will influence both the performance of our business and the experience of our users.",4.0,Tinder,"Los Angeles, CA","201 to 500 Employees
Founded
2012",2012,Company - Public,IT Services,Information Technology,Unknown / Non-Applicable
